category,year,content_key,language,label,url,context_text
civic_centres,,instruction-40,eng,List of City Civic centers,https://www.mjlibrary.in/assets/img/pdf/list_of_ccc.pdf,"a href=""assets/img/pdf/fees_stucture_eng.pdf"">Fee Structure (In English) Fee Structure (In Gujarati) List of City Civic centers"
civic_centres,,instruction-40,guj,List of City Civic centers,https://www.mjlibrary.in/assets/img/pdf/list_of_ccc.pdf,"a href=""assets/img/pdf/fees_stucture_eng.pdf"">Fee Structure (In English) Fee Structure (In Gujarati) List of City Civic centers"
fees,,instruction-40,eng,Fee Structure (In English),https://www.mjlibrary.in/assets/img/pdf/fees_stucture_eng.pdf,OR Public Information Officer) Application Form ( In English) Application Form ( In Gujarati) Fee Structure (In English)
fees,,instruction-40,guj,Fee Structure (In English),https://www.mjlibrary.in/assets/img/pdf/fees_stucture_eng.pdf,r OR Pub. Information Officer) Application Form ( In English) Application Form ( In Gujarati) Fee Structure (In English)
fees,,instruction-40,eng,Fee Structure (In Gujarati),https://www.mjlibrary.in/assets/img/pdf/fees_stucture_guj.pdf,pplication Form ( In English) Application Form ( In Gujarati) Fee Structure (In English) Fee Structure (In Gujarati)
fees,,instruction-40,guj,Fee Structure (In Gujarati),https://www.mjlibrary.in/assets/img/pdf/fees_stucture_guj.pdf,pplication Form ( In English) Application Form ( In Gujarati) Fee Structure (In English) Fee Structure (In Gujarati)
forms,,instruction-326,eng,Download,https://www.mjlibrary.in/assets/frontend/MJ-membership-and-Gaurantor-form.pdf,"ze:13px;line-height:20px;font-style:italic;"">Note: Download guarantor form, fill it, get it approved from guarantor ( list of guarantors office is given in the form) and upload it Download"
forms,,instruction-326,guj,ડાઉનલોડ,https://www.mjlibrary.in/assets/frontend/MJ-membership-and-Gaurantor-form.pdf,"Note:ગેરેંટર ફોર્મ ડાઉનલોડ કરો, તેને ભરો, તેને ગેરેંટરથી મંજૂરી આપો (ફોર્મમાં જણાવેલ ગેરેંટરની સૂચિ), અને તેને અપલોડ કરો ડાઉનલોડ"
forms,,instruction-40,eng,Application Form ( In English),https://www.mjlibrary.in/assets/img/pdf/admissionformeng.pdf,(NEW) (Applicant has to submit his application in prescribed form to the concerned Assistant Public Information Officer OR Public Information Officer) Application Form ( In English)
forms,,instruction-40,guj,Application Form ( In English),https://www.mjlibrary.in/assets/img/pdf/admissionformeng.pdf,t Officer (NEW) (Applicanthas to submit his application in prescribed form to the concerned Asstt. Pub.Information Officer OR Pub. Information Officer) Application Form ( In English)
proactive_disclosure,2015-16,instruction-40,eng,M.J.Library.,https://www.mjlibrary.in/assets/img/pdf/mj_lib_1516-min.pdf,entioned in the list.) Search ByReg.No and Get Your Status RTI Annual Report PRO ACTIVE DISCLOSURE 2015-16 - M.J.Library.
proactive_disclosure,2015-16,instruction-40,guj,M.J.Library.,https://www.mjlibrary.in/assets/img/pdf/mj_lib_1516-min.pdf,entioned in the list.) Search ByReg.No and Get Your Status RTI Annual Report PRO ACTIVE DISCLOSURE 2015-16 - M.J.Library.
proactive_disclosure,2016-17,instruction-40,eng,M.J.Library.,https://www.mjlibrary.in/assets/img/pdf/mj_discloser_rti_2016-17_mj%20library_final.pdf,"rt.pdf"">RTI Annual Report PRO ACTIVE DISCLOSURE 2015-16 - M.J.Library. PRO ACTIVE DISCLOSURE 2016-17 - M.J.Library."
